ID	dnds	low_ci	high_ci	muts	Pvalue
PD36806_1	1.97270143315685	0.740507846432801	5.25524606271978	18	0.175028926202739
PD30272_1	1.25185710421213	0.590790908844135	2.65262411101156	37	0.569278344049119
PD36806_2	3.6138123034495	1.97271910439497	6.62012109857291	42	3.78829456607158e-05
PD30274_1	3.13540969775411	1.69291428069571	5.80702406782847	46	0.000303498574526017
PD36806_3	4.17451099321309	2.34249322337447	7.43931374424777	46	1.75813795829941e-06
PD36806_4	4.13677741825914	2.3354042069994	7.32760836729245	47	1.59729783771209e-06
PD36806_10	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_11	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_12	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_13	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_14	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_15	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_16	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_17	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_18	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_19	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_20	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_21	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_22	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_23	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_24	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_25	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_26	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_27	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_28	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_29	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_30	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_31	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_32	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_33	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_34	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_35	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_36	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_37	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_38	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_39	4.47539328591339	2.55418823307782	7.84168715688715	49	2.5952449292126e-07
PD36806_40	4.45795167658179	2.54423305885114	7.81112920516497	49	2.78114677906995e-07
