ID	dnds	low_ci	high_ci	muts	Pvalue
PD30274_46	2.15939841126723	1.67928477770642	2.77677828113956	491	4.23374345614865e-09
PD30274_47	2.15939841126723	1.67928477770642	2.77677828113956	491	4.23374345614865e-09
PD30274_48	2.13043466885765	1.65924560187017	2.73543101344063	492	6.29766121986813e-09
PD30274_49	2.13043466885765	1.65924560187017	2.73543101344063	492	6.29766121986813e-09
PD30274_50	2.13043466885765	1.65924560187017	2.73543101344063	492	6.29766121986813e-09
PD30987_2	2.78085788443216	2.09186597317255	3.69678109046359	500	7.09080850769634e-12
PD31182_11	2.96788847619425	2.23351139575128	3.94372825850919	513	3.16828977657471e-13
PD30987_3	2.91504831460648	2.21119515717807	3.84294739833575	549	1.71676052429649e-13
PD31182_3	2.4067630229364	1.87666826227884	3.0865914690432	563	1.56849018986214e-11
PD30987_4	2.98650711873395	2.27155635159052	3.92648184316598	569	2.91157097500656e-14
PD30986_2	2.2601219906086	1.76282330010668	2.89771040133373	572	3.34498816206507e-10
PD30987_5	2.99205093381179	2.28117380631366	3.92445712191956	579	1.60534777687315e-14
PD30987_6	3.06819384385666	2.33988364226428	4.02319726222381	590	3.94755505022781e-15
PD30987_7	3.07970517737475	2.34883805175703	4.03798975091277	593	3.17033233197738e-15
PD30987_8	3.12122957150118	2.38080009858784	4.09193281023128	598	1.48608507053623e-15
PD30987_9	3.12122957150118	2.38080009858784	4.09193281023128	598	1.48608507053623e-15
PD30273_2	2.43061093285213	1.89439922759892	3.11859792847799	599	1.02878760766358e-11
PD30987_10	3.1453272968274	2.39935535962452	4.12322575081824	601	9.57368756974623e-16
PD30987_11	3.18538266241771	2.43020044621183	4.17523695292208	606	4.61352018286741e-16
PD30987_12	3.18538266241771	2.43020044621183	4.17523695292208	606	4.61352018286741e-16
PD30987_13	3.18538266241771	2.43020044621183	4.17523695292208	606	4.61352018286741e-16
PD30987_14	3.18538266241771	2.43020044621183	4.17523695292208	606	4.61352018286741e-16
PD30987_15	3.18538266241771	2.43020044621183	4.17523695292208	606	4.61352018286741e-16
PD30987_16	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_17	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_18	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_19	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_20	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_21	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_22	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_23	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_24	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_25	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_26	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_27	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_28	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_29	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_30	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_31	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_32	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_33	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_34	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_35	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_36	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_37	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_38	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_39	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_40	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_41	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_42	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_43	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_44	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_45	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_46	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
PD30987_47	3.19703383145703	2.43920429586931	4.1903112981515	608	3.72021718306501e-16
