ID	dnds	low_ci	high_ci	muts	Pvalue
PD30274_22	1.82153784076086	1.40880919058204	2.35518062169437	393	6.2339370451922e-06
PD30274_23	1.81608773519905	1.40459404800303	2.34813373061746	393	6.91143431959282e-06
PD30274_24	1.81608773519905	1.40459404800303	2.34813373061746	393	6.91143431959282e-06
PD30274_25	1.82332967401938	1.41029643698598	2.35732787304254	394	5.99094940342741e-06
PD30274_26	1.83057476445175	1.41600147626412	2.36652575891986	395	5.19103158364788e-06
PD30274_27	1.83057476445175	1.41600147626412	2.36652575891986	395	5.19103158364788e-06
PD30274_28	1.83215043826848	1.41722029005563	2.36856277884336	395	5.03791494493174e-06
PD30274_29	1.83651282530231	1.42069565693203	2.37403369331284	396	4.60972214212865e-06
PD30274_30	1.83651282530231	1.42069565693203	2.37403369331284	396	4.60972214212865e-06
PD30274_31	1.8437417311483	1.42638854302154	2.38321009223528	397	3.9930770819537e-06
PD30274_32	1.8437417311483	1.42638854302154	2.38321009223528	397	3.9930770819537e-06
PD30274_33	1.8437417311483	1.42638854302154	2.38321009223528	397	3.9930770819537e-06
PD30274_34	1.8437417311483	1.42638854302154	2.38321009223528	397	3.9930770819537e-06
PD30274_35	1.8437417311483	1.42638854302154	2.38321009223528	397	3.9930770819537e-06
PD30274_36	1.8437417311483	1.42638854302154	2.38321009223528	397	3.9930770819537e-06
PD30274_37	1.8437417311483	1.42638854302154	2.38321009223528	397	3.9930770819537e-06
PD30274_38	1.8437417311483	1.42638854302154	2.38321009223528	397	3.9930770819537e-06
PD30274_39	1.8437417311483	1.42638854302154	2.38321009223528	397	3.9930770819537e-06
PD30987_3	2.2338341684146	1.68396551071827	2.96325254894806	397	4.45652948057945e-08
PD30274_40	1.85011118482522	1.43141671170662	2.39127527869533	398	3.51507785296242e-06
PD30274_41	1.85011118482522	1.43141671170662	2.39127527869533	398	3.51507785296242e-06
PD30274_42	1.85126346664032	1.43240825106028	2.39259751567356	399	3.41819285533423e-06
PD30274_43	1.85126346664032	1.43240825106028	2.39259751567356	399	3.41819285533423e-06
PD30274_44	1.85268951153852	1.43351166609079	2.39444052487221	399	3.32623782612935e-06
PD30274_45	1.85268951153852	1.43351166609079	2.39444052487221	399	3.32623782612935e-06
PD30274_46	1.85268951153852	1.43351166609079	2.39444052487221	399	3.32623782612935e-06
PD30274_47	1.85268951153852	1.43351166609079	2.39444052487221	399	3.32623782612935e-06
PD30274_48	1.82761681580055	1.41619067009687	2.35856886782659	400	4.7543322909898e-06
PD30274_49	1.82761681580055	1.41619067009687	2.35856886782659	400	4.7543322909898e-06
PD30274_50	1.82761681580055	1.41619067009687	2.35856886782659	400	4.7543322909898e-06
PD30987_4	2.2977358331377	1.73722158247069	3.03909991227274	412	1.10018538481896e-08
PD31182_3	1.84050477455557	1.42550949059221	2.37631376537142	414	3.8595936881575e-06
PD30987_5	2.29432823834542	1.73873754464672	3.02745062443495	418	8.84554574040515e-09
PD30987_6	2.34716765672928	1.77943477371954	3.09603706197118	425	3.39325887990015e-09
PD30987_7	2.35462615336673	1.78527217639862	3.10555689794196	427	2.94385920975991e-09
PD30987_8	2.38231447236893	1.80653938257141	3.14159895987437	430	1.78649968599768e-09
PD30987_9	2.38231447236893	1.80653938257141	3.14159895987437	430	1.78649968599768e-09
PD30987_10	2.40162636955127	1.82136558375655	3.16674986634367	432	1.26117786194165e-09
