name,mle,cilow,cihigh,areacutoff,nmutations
wnon,7.4128540487600665,6.552360514091858,8.386352525939197,0.5700000000000001,6704
wspl,7.981514599662672,6.804350544157175,9.362330010956127,0.5700000000000001,6704
wtru,7.587490145992447,6.787735381886289,8.481474818414915,0.5700000000000001,6704
wall,2.4703112467971255,2.261763882788094,2.6980878519157567,0.5700000000000001,6704
wmis,2.025189910016888,1.8511214502877997,2.2156267331873636,0.6200000000000001,6734
wnon,7.469794251913893,6.603777960968695,8.44937950605186,0.6200000000000001,6734
wspl,8.066201264246875,6.8793890393802,9.457758888600344,0.6200000000000001,6734
wtru,7.653009639424794,6.8473229813078484,8.553496994520643,0.6200000000000001,6734
wall,2.4828163095475237,2.2732978906072767,2.7116449860904357,0.6200000000000001,6734
wmis,2.031141353674674,1.856614717238801,2.2220739501316538,0.67,6758
wnon,7.534698239400717,6.662115077241848,8.521569636760468,0.67,6758
wspl,8.112558304283379,6.920042544349844,9.510577690614554,0.67,6758
wtru,7.71231062933604,6.901082445014579,8.618899385318677,0.67,6758
wall,2.4923167618059345,2.2820610208451853,2.7219442356884356,0.67,6758
wmis,2.033935871882446,1.8592033291579078,2.225090212593335,0.7200000000000001,6773
wnon,7.573929145735638,6.697463972754803,8.565093136444098,0.7200000000000001,6773
wspl,8.122699183938092,6.928744648219508,9.522394803466037,0.7200000000000001,6773
wtru,7.742601658204993,6.92856973488963,8.652273518409448,0.7200000000000001,6773
wall,2.4968176169203553,2.286219177341459,2.726815641277751,0.7200000000000001,6773
wmis,2.0399413931781405,1.864742008153437,2.231601406203299,0.77,6790
wnon,7.616569901172564,6.735786321618007,8.612526331671505,0.77,6790
wspl,8.143514142619004,6.946532147876376,9.546752419667335,0.77,6790
wtru,7.778491083966131,6.9610441226615425,8.691932198270083,0.77,6790
wall,2.504890595835565,2.2936639334944178,2.7355694116645193,0.77,6790
wmis,2.0408054983954704,1.865539333516592,2.2325378015108686,0.8200000000000001,6802
wnon,7.6744557957885275,6.78800636910433,8.67666713301619,0.8200000000000001,6802
wspl,8.176608023323729,6.975766835249965,9.584167640070824,0.8200000000000001,6802
wtru,7.828818356280266,7.00679467092584,8.747280280661093,0.8200000000000001,6802
wall,2.5096097002369913,2.2980098765060113,2.740693550499249,0.8200000000000001,6802
wmis,2.04414543436621,1.8686237185490235,2.236154082473505,0.8700000000000001,6811
wnon,7.669657712692121,6.783874933796914,8.671098745762746,0.8700000000000001,6811
wspl,8.185597452895085,6.983480422020674,9.594643589113815,0.8700000000000001,6811
wtru,7.828091081208996,7.006197803517876,8.746400215097422,0.8700000000000001,6811
wall,2.5124871850198303,2.300670644108118,2.743805103548848,0.8700000000000001,6811
wmis,2.048970774041135,1.8730667869652007,2.241394306968044,0.92,6824
wnon,7.69221999440412,6.80403486309233,8.69634704008829,0.92,6824
wspl,8.220901753295207,7.014502880746082,9.634784786080788,0.92,6824
wtru,7.854598865511715,7.030120258284704,8.775770694020956,0.92,6824
wall,2.5184688535693396,2.3061814428847534,2.750297634198692,0.92,6824
wmis,2.0518279358781464,1.8756981833467032,2.2444964311573363,0.9700000000000001,6831
wnon,7.709470638023258,6.819503757454015,8.715581020624365,0.9700000000000001,6831
wspl,8.22904774824857,7.021510590269365,9.64425332303843,0.9700000000000001,6831
wtru,7.869066511634821,7.04319960699427,8.791772378996695,0.9700000000000001,6831
wall,2.5221382918346937,2.309562271698783,2.7542801686225595,0.9700000000000001,6831
wmis,2.053499557327185,1.8772401341100138,2.2463084798376776,1.02,6841
wnon,7.72829502349437,6.836334540614412,8.73663271089714,1.02,6841
wspl,8.23869310845884,7.0309133783104105,9.653946860554038,1.02,6841
wtru,7.885355295746818,7.057983221670368,8.809716060142021,1.02,6841
wall,2.5245567870014147,2.3117907105051416,2.756904827860598,1.02,6841
wmis,2.054428734713577,1.8781026936253282,2.247309180878493,1.07,6849
wnon,7.735039313319448,6.842538721825205,8.743952443814289,1.07,6849
wspl,8.241097015689261,7.0329995996995915,9.656716036910256,1.07,6849
wtru,7.890705992357448,7.062901636511566,8.815532802546315,1.07,6849
wall,2.525718364799573,2.3128658744546016,2.7581596186549837,1.07,6849
wmis,2.05469798409755,1.87835403548093,2.247597484876486,1.12,6852
wnon,7.758941604142047,6.864081484866765,8.770463309506425,1.12,6852
wspl,8.243050910378063,7.034685910340336,9.658979686812671,1.12,6852
wtru,7.907892477525628,7.078523486468082,8.834436101773665,1.12,6852
wall,2.5273955857674357,2.3144122532246283,2.7599786676106715,1.12,6852
wmis,2.055736277407437,1.8793126779799914,2.248721935293612,1.1700000000000002,6860
wnon,7.788628763430921,6.890766170685551,8.803482299633488,1.1700000000000002,6860
wspl,8.24035965698626,7.032598723324123,9.655538435781892,1.1700000000000002,6860
wtru,7.9277730329065825,7.096616676324929,8.856274493584214,1.1700000000000002,6860
wall,2.5299436310966117,2.3167611894813276,2.7627425759662634,1.1700000000000002,6860
wmis,2.0582790595613583,1.881660111716948,2.2514760559828852,1.2200000000000002,6870
wnon,7.801833166875199,6.902835940175272,8.817912129345546,1.2200000000000002,6870
wspl,8.269759959643885,7.058955153190761,9.688251066337537,1.2200000000000002,6870
wtru,7.945970761707256,7.113246246303146,8.876179617529836,1.2200000000000002,6870
wall,2.5336273573827524,2.320163022156651,2.7667312705084988,1.2200000000000002,6870
wmis,2.058821151585466,1.8821628837357256,2.2520604198732386,1.27,6875
wnon,7.810834921240723,6.9109808939987785,8.82785571290632,1.27,6875
wspl,8.271774860202093,7.060688122368101,9.690593629410026,1.27,6875
wtru,7.9528111927207785,7.119473694847265,8.883691207798151,1.27,6875
wall,2.5346145793719974,2.321075874314615,2.767798819959771,1.27,6875
wmis,2.058821151585466,1.8821628837357256,2.2520604198732386,1.32,6880
wnon,7.810834921240723,6.9109808939987785,8.82785571290632,1.32,6880
wspl,8.271774860202093,7.060688122368101,9.690593629410026,1.32,6880
wtru,7.9528111927207785,7.119473694847265,8.883691207798151,1.32,6880
wall,2.5346145793719974,2.321075874314615,2.767798819959771,1.32,6880
wmis,2.058821151585466,1.8821628837357256,2.2520604198732386,1.37,6882
wnon,7.810834921240723,6.9109808939987785,8.82785571290632,1.37,6882
wspl,8.271774860202093,7.060688122368101,9.690593629410026,1.37,6882
wtru,7.9528111927207785,7.119473694847265,8.883691207798151,1.37,6882
wall,2.5346145793719974,2.321075874314615,2.767798819959771,1.37,6882
wmis,2.059222906858248,1.882534968018479,2.252494138046794,1.4200000000000002,6888
wnon,7.812074160021586,6.9120754834228535,8.82925871224076,1.4200000000000002,6888
wspl,8.273129951575935,7.061847234744763,9.69217782833228,1.4200000000000002,6888
wtru,7.954087165621427,7.120615409945235,8.885117225954787,1.4200000000000002,6888
wall,2.535007872295924,2.321440001298153,2.7682235633954484,1.4200000000000002,6888
wmis,2.059222906858248,1.882534968018479,2.252494138046794,1.4700000000000002,6888
wnon,7.812074160021586,6.9120754834228535,8.82925871224076,1.4700000000000002,6888
wspl,8.273129951575935,7.061847234744763,9.69217782833228,1.4700000000000002,6888
wtru,7.954087165621427,7.120615409945235,8.885117225954787,1.4700000000000002,6888
wall,2.535007872295924,2.321440001298153,2.7682235633954484,1.4700000000000002,6888
wmis,2.0599122259823917,1.8831695917778002,2.2532428291526925,1.52,6892
wnon,7.801928975037327,6.903173012073656,8.817698125929214,1.52,6892
wspl,8.274626074521391,7.063123702514481,9.693931404425792,1.52,6892
wtru,7.947398065289203,7.114658126330074,8.8776066097139,1.52,6892
wall,2.5353462937804667,2.3217534712736367,2.7685888742787883,1.52,6892
wmis,2.0613653881104477,1.8845042554067972,2.254824976440544,1.57,6894
wnon,7.815205580655129,6.915140136974693,8.832422345474528,1.57,6894
wspl,8.280075967616673,7.067770843644145,9.70032271082431,1.57,6894
wtru,7.958246347441575,7.124495372793757,8.889567837803492,1.57,6894
wall,2.5376293849459968,2.323853757804552,2.771070629429426,1.57,6894
wmis,2.062875006569035,1.8858972750012564,2.2564608100005668,1.62,6897
wnon,7.819852385038736,6.919235729575027,8.837694467095687,1.62,6897
wspl,8.284947514769552,7.07193776114279,9.706018016679243,1.62,6897
wtru,7.962969602773719,7.128712773532878,8.89485758636812,1.62,6897
wall,2.539131785045205,2.3252404762018624,2.772698259733522,1.62,6897
wmis,2.062875006569035,1.8858972750012564,2.2564608100005668,1.6700000000000002,6899
wnon,7.819852385038736,6.919235729575027,8.837694467095687,1.6700000000000002,6899
wspl,8.284947514769552,7.07193776114279,9.706018016679243,1.6700000000000002,6899
wtru,7.962969602773719,7.128712773532878,8.89485758636812,1.6700000000000002,6899
wall,2.539131785045205,2.3252404762018624,2.772698259733522,1.6700000000000002,6899
wmis,2.0634316375894097,1.8864119659402172,2.2570627200632627,1.7200000000000002,6900
wnon,7.821562165851647,6.920744587475255,8.83963191258294,1.7200000000000002,6900
wspl,8.286633817193772,7.07338513170924,9.707982633721823,1.7200000000000002,6900
wtru,7.9646764949902105,7.1302395956429425,8.896765784506492,1.7200000000000002,6900
wall,2.539679747516372,2.325747134201014,2.773290838498934,1.7200000000000002,6900
wmis,2.0634316375894097,1.8864119659402172,2.2570627200632627,1.77,6901
wnon,7.821562165851647,6.920744587475255,8.83963191258294,1.77,6901
wspl,8.286633817193772,7.07338513170924,9.707982633721823,1.77,6901
wtru,7.9646764949902105,7.1302395956429425,8.896765784506492,1.77,6901
wall,2.539679747516372,2.325747134201014,2.773290838498934,1.77,6901
wmis,2.0634316375894097,1.8864119659402172,2.2570627200632627,1.82,6901
wnon,7.821562165851647,6.920744587475255,8.83963191258294,1.82,6901
wspl,8.286633817193772,7.07338513170924,9.707982633721823,1.82,6901
wtru,7.9646764949902105,7.1302395956429425,8.896765784506492,1.82,6901
wall,2.539679747516372,2.325747134201014,2.773290838498934,1.82,6901
wmis,2.0634316375894097,1.8864119659402172,2.2570627200632627,1.87,6902
wnon,7.821562165851647,6.920744587475255,8.83963191258294,1.87,6902
wspl,8.286633817193772,7.07338513170924,9.707982633721823,1.87,6902
wtru,7.9646764949902105,7.1302395956429425,8.896765784506492,1.87,6902
wall,2.539679747516372,2.325747134201014,2.773290838498934,1.87,6902
wmis,2.065159813714455,1.888006587913672,2.2589354737866687,1.9200000000000002,6905
wnon,7.810497803034068,6.911105955413371,8.82693397044746,1.9200000000000002,6905
wspl,8.286543086311164,7.073432327714361,9.707705275167262,1.9200000000000002,6905
wtru,7.956860965983686,7.123334376430503,8.887921454519763,1.9200000000000002,6905
wall,2.540884809141526,2.326862283142361,2.774592918583646,1.9200000000000002,6905
wmis,2.066546748757537,1.889285726720461,2.2604391725403787,1.9700000000000002,6909
wnon,7.809581774217137,6.910369044803106,8.825804684635656,1.9700000000000002,6909
wspl,8.29087366883975,7.077128734968244,9.712778835436673,1.9700000000000002,6909
wtru,7.9574813425630415,7.12392179114248,8.8885744641343,1.9700000000000002,6909
wall,2.5421203203362532,2.3280028132915405,2.775931234348212,1.9700000000000002,6909
wmis,2.0667160656080172,1.8894428370131047,2.260621603453493,2.02,6911
wnon,7.811056935531281,6.911665740289027,8.827482801209648,2.02,6911
wspl,8.32087028734249,7.103777215004184,9.746488416407683,2.02,6911
wtru,7.96775096514999,7.133242578872479,8.899887357073926,2.02,6911
wall,2.5428759330017074,2.328700253431699,2.7767498204675913,2.02,6911
wmis,2.067081138355398,1.8897808121195376,2.26101588350468,2.0700000000000003,6912
wnon,7.812044609999664,6.91253907006695,8.828599790906315,2.0700000000000003,6912
wspl,8.317943349063416,7.101380459370233,9.742919979302739,2.0700000000000003,6912
wtru,7.967597119989484,7.13312485413738,8.899690551419873,2.0700000000000003,6912
wall,2.543197643337341,2.32899828492115,2.777097044232293,2.0700000000000003,6912
wmis,2.066896228757393,1.8896117664515344,2.260813621241337,2.12,6913
wnon,7.812067002098372,6.912556931891603,8.82862758984525,2.12,6913
wspl,8.335556266117798,7.11727167705516,9.76237825649004,2.12,6913
wtru,7.9730995158616125,7.138156213690476,8.90570533717227,2.12,6913
wall,2.543330543512952,2.3291216005528517,2.7772402488691377,2.12,6913
wmis,2.067122139178382,1.8898201628511138,2.261058497669363,2.17,6914
wnon,7.827195012361163,6.9261576033067325,8.845450142844271,2.17,6914
wspl,8.337313488262645,7.11877146971032,9.76443709386204,2.17,6914
wtru,7.984145907927068,7.148175004707214,8.917882653557047,2.17,6914
wall,2.5443519442976323,2.3300622055973883,2.7783493508884187,2.17,6914
wmis,2.07050794741424,1.8929401799854777,2.264732507468048,2.22,6918
wnon,7.837603524473768,6.935324463551471,8.857268225831108,2.22,6918
wspl,8.348101953707413,7.1280018321562695,9.777046621270522,2.22,6918
wtru,7.994692176744593,7.1575846414178335,8.929702714383879,2.22,6918
wall,2.5477421201967227,2.3331875552215133,2.7820266298344096,2.22,6918
wmis,2.07050794741424,1.8929401799854777,2.264732507468048,2.27,6918
wnon,7.837603524473768,6.935324463551471,8.857268225831108,2.27,6918
wspl,8.348101953707413,7.1280018321562695,9.777046621270522,2.27,6918
wtru,7.994692176744593,7.1575846414178335,8.929702714383879,2.27,6918
wall,2.5477421201967227,2.3331875552215133,2.7820266298344096,2.27,6918
wmis,2.07050794741424,1.8929401799854777,2.264732507468048,2.3200000000000003,6918
wnon,7.837603524473768,6.935324463551471,8.857268225831108,2.3200000000000003,6918
wspl,8.348101953707413,7.1280018321562695,9.777046621270522,2.3200000000000003,6918
wtru,7.994692176744593,7.1575846414178335,8.929702714383879,2.3200000000000003,6918
wall,2.5477421201967227,2.3331875552215133,2.7820266298344096,2.3200000000000003,6918
wmis,2.0674944578696084,1.8902977891757438,2.261301556716859,2.37,6919
wnon,7.822769920833828,6.922618739473684,8.839968159066217,2.37,6919
wspl,8.336896689564194,7.118675367519897,9.763592638258084,2.37,6919
