Cancer_Type_Code	Sample	Aberrant_Cell_Fraction(Purity)	Ploidy
ACC	TCGA.OR.A5LO.01A.11D.A29H.01	0.68	2.84115245807782
ACC	TCGA.OR.A5LP.01A.11D.A29H.01	0.52	2.55043406262963
ACC	TCGA.OR.A5LR.01A.11D.A29H.01	0.68	2.51455177403976
ACC	TCGA.OR.A5LS.01A.11D.A29H.01	0.71	3.01912341172727
ACC	TCGA.OR.A5LT.01A.11D.A29H.01	0.78	2.80510524068222
ACC	TCGA.OU.A5PI.01A.12D.A29H.01	0.64	3.16554298505589
ACC	TCGA.P6.A5OG.01A.22D.A29H.01	0.29	1.81550908302361
ACC	TCGA.P6.A5OH.01A.11D.A309.01	0.66	3.23256960745278
ACC	TCGA.PA.A5YG.01A.11D.A29H.01	0.5	2.50402354094927
ACC	TCGA.PK.A5H9.01A.11D.A29H.01	0.74	2.00100734294141
ACC	TCGA.PK.A5HA.01A.11D.A29H.01	0.76	1.66238462619192
ACC	TCGA.PK.A5HB.01A.11D.A29H.01	0.78	1.63937566950267
ACC	TCGA.PK.A5HC.01A.11D.A309.01	0.55	2.41488479695154
BLCA	TCGA.BL.A0C8.01A.11D.A10T.01	0.63	3.46538799640377
BLCA	TCGA.BL.A13I.01A.11D.A13V.01	0.37	2.06288396619903
BLCA	TCGA.BL.A13J.01A.11D.A10T.01	0.54	3.87846801686161
BLCA	TCGA.BL.A3JM.01A.12D.A219.01	0.67	2.40547163807623
BLCA	TCGA.BL.A5ZZ.01A.31D.A30D.01	0.24	4.73622219741811
BLCA	TCGA.BT.A0S7.01A.11D.A10T.01	0.55	1.47976290234716
BLCA	TCGA.BT.A0YX.01A.11D.A10T.01	0.48	2.1304792320204
BLCA	TCGA.BT.A20J.01A.11D.A14V.01	0.38	3.25037692062926
BLCA	TCGA.BT.A20N.01A.11D.A14V.01	0.46	4.38613442974893
BLCA	TCGA.BT.A20O.01A.21D.A14V.01	0.23	2.02299285252977
BLCA	TCGA.BT.A20P.01A.11D.A14V.01	0.85	2.06284787066916
BLCA	TCGA.BT.A20Q.01A.11D.A14V.01	0.63	1.99304689031457
BLCA	TCGA.BT.A20R.01A.12D.A16M.01	0.52	1.89430840131788
BLCA	TCGA.BT.A20T.01A.11D.A14V.01	0.56	3.60464455065786
BLCA	TCGA.BT.A20U.01A.11D.A14V.01	0.45	1.99363774637282
BLCA	TCGA.BT.A20V.01A.11D.A14V.01	0.59	3.59745154452772
BLCA	TCGA.BT.A20W.01A.21D.A14V.01	0.62	2.73109107901756
BLCA	TCGA.BT.A20X.01A.11D.A16M.01	0.33	3.62331315870871
BLCA	TCGA.BT.A2LA.01A.11D.A18E.01	0.78	3.27278447025923
BLCA	TCGA.BT.A2LB.01A.11D.A18E.01	0.45	3.05184317658433
BLCA	TCGA.BT.A3PH.01A.11D.A21Y.01	0.71	3.70205305820765
BLCA	TCGA.BT.A3PJ.01A.21D.A21Y.01	0.48	3.63858601037219
BLCA	TCGA.BT.A3PK.01A.21D.A21Y.01	0.29	1.81133977166523
BLCA	TCGA.BT.A42B.01A.32D.A23L.01	0.72	1.75471199376713
BLCA	TCGA.BT.A42C.01A.11D.A23L.01	0.53	4.09067197104361
BLCA	TCGA.BT.A42E.01A.11D.A23T.01	0.44	3.12961738183018
BLCA	TCGA.BT.A42F.01A.11D.A23T.01	1	1.9663428619979
BLCA	TCGA.C4.A0EZ.01A.21D.A10T.01	0.94	3.32567608315744
BLCA	TCGA.C4.A0F1.01A.11D.A10T.01	0.59	2.27246460833296
BLCA	TCGA.C4.A0F6.01A.11D.A10T.01	0.5	3.68268641814061
BLCA	TCGA.C4.A0F7.01A.11D.A10T.01	0.6	3.20478215792405
BLCA	TCGA.CF.A1HR.01A.11D.A13V.01	0.42	3.91168256813587
BLCA	TCGA.CF.A1HS.01A.11D.A13V.01	0.52	3.11050007857719
BLCA	TCGA.CF.A27C.01A.11D.A16M.01	0.74	3.89699113216128
BLCA	TCGA.CF.A3MF.01A.12D.A219.01	0.75	3.21208067406458
BLCA	TCGA.CF.A3MG.01A.11D.A20B.01	0.72	3.36614250404131
BLCA	TCGA.CF.A3MH.01A.11D.A20B.01	0.81	1.94296184369303
BLCA	TCGA.CF.A3MI.01A.11D.A20B.01	0.78	3.79335142552354
BLCA	TCGA.CF.A47S.01A.11D.A23T.01	0.48	1.88542834565301
BLCA	TCGA.CF.A47T.01A.11D.A23T.01	0.68	4.03340335866129
BLCA	TCGA.CF.A47V.01A.11D.A23T.01	0.82	2.02270353297493
BLCA	TCGA.CF.A47W.01A.11D.A23T.01	1	1.95426141049114
BLCA	TCGA.CF.A47X.01A.31D.A23T.01	0.75	3.67296894618268
BLCA	TCGA.CF.A47Y.01A.11D.A23T.01	0.81	1.95567968715727
BLCA	TCGA.CF.A5U8.01A.11D.A288.01	0.66	3.83708532483478
BLCA	TCGA.CF.A5UA.01A.11D.A288.01	0.81	2.36277340281445
BLCA	TCGA.CU.A0YN.01A.21D.A10T.01	0.5	2.12504380053721
BLCA	TCGA.CU.A0YO.01A.11D.A10T.01	0.34	1.80508858120689
BLCA	TCGA.CU.A0YR.01A.12D.A10T.01	0.41	4.21648321807753
BLCA	TCGA.CU.A3KJ.01A.11D.A219.01	0.76	3.17397823272954
BLCA	TCGA.CU.A3QU.01A.11D.A22Y.01	0.74	3.49660785316561
BLCA	TCGA.CU.A3YL.01A.11D.A22Y.01	0.64	2.08542812352668
BLCA	TCGA.CU.A5W6.01A.11D.A288.01	0.39	3.76009744682434
BLCA	TCGA.DK.A1A3.01A.11D.A13V.01	0.45	3.21020981498542
