Cancer_Type_Code	Sample	Aberrant_Cell_Fraction(Purity)	Ploidy
BRCA	TCGA.E2.A1IN.01A.11D.A13J.01	0.55	4.43820750709277
BRCA	TCGA.E2.A1IO.01A.11D.A141.01	0.33	3.55186566687602
BRCA	TCGA.E2.A1IU.01A.11D.A14F.01	0.64	1.99425359164405
BRCA	TCGA.E2.A1L6.01A.11D.A13J.01	0.35	4.09932990037078
BRCA	TCGA.E2.A1L7.01A.11D.A141.01	0.47	5.21511658578491
BRCA	TCGA.E2.A1L8.01A.11D.A13J.01	0.56	2.68718447647877
BRCA	TCGA.E2.A1L9.01A.11D.A13J.01	0.61	2.14287610292668
BRCA	TCGA.E2.A1LA.01A.11D.A141.01	0.55	1.97372689677845
BRCA	TCGA.E2.A1LB.01A.11D.A141.01	0.66	1.92833482435637
BRCA	TCGA.E2.A1LE.01A.12D.A19X.01	0.51	2.13170981193118
BRCA	TCGA.E2.A1LG.01A.21D.A14J.01	0.67	3.24379198534855
BRCA	TCGA.E2.A1LH.01A.11D.A14F.01	0.33	2.92543718628125
BRCA	TCGA.E2.A1LI.01A.12D.A160.01	0.34	3.55042795415535
BRCA	TCGA.E2.A1LK.01A.21D.A14F.01	0.54	4.72689289123528
BRCA	TCGA.E2.A1LL.01A.11D.A141.01	0.41	3.29297075651233
BRCA	TCGA.E2.A2P5.01A.11D.A19X.01	0.56	3.25694686238218
BRCA	TCGA.E2.A2P6.01A.11D.A19X.01	0.75	2.00427093415787
BRCA	TCGA.E2.A3DX.01A.21D.A20R.01	0.23	2.0621337344935
BRCA	TCGA.E2.A56Z.01A.12D.A29M.01	0.68	3.48305481467167
BRCA	TCGA.E2.A570.01A.11D.A29M.01	0.39	4.54693890470613
BRCA	TCGA.E2.A572.01A.13D.A31T.01	0.66	1.93274292152776
BRCA	TCGA.E2.A573.01A.11D.A29M.01	0.29	3.5368271584988
BRCA	TCGA.E2.A574.01A.11D.A29M.01	0.63	4.73751164080839
BRCA	TCGA.E2.A576.01A.11D.A31T.01	0.77	1.85639421205402
BRCA	TCGA.E9.A1N3.01A.12D.A160.01	0.62	2.02743093675674
BRCA	TCGA.E9.A1N4.01A.11D.A14J.01	0.64	1.80281845003573
BRCA	TCGA.E9.A1N5.01A.11D.A14F.01	0.43	3.87832085816289
BRCA	TCGA.E9.A1N6.01A.11D.A141.01	0.63	1.9242660251658
BRCA	TCGA.E9.A1N8.01A.11D.A141.01	0.85	1.84839988516068
BRCA	TCGA.E9.A1N9.01A.11D.A14F.01	0.49	4.50134414200092
BRCA	TCGA.E9.A1NA.01A.11D.A141.01	0.52	4.03002426174923
BRCA	TCGA.E9.A1NC.01A.12D.A160.01	0.42	1.82577243045641
BRCA	TCGA.E9.A1ND.01A.11D.A141.01	0.36	2.85920633148913
BRCA	TCGA.E9.A1NE.01A.21D.A14J.01	0.25	2.0096591637943
BRCA	TCGA.E9.A1NF.01A.11D.A14F.01	0.45	3.62610695272096
BRCA	TCGA.E9.A1NG.01A.21D.A14J.01	0.21	3.89681898424958
BRCA	TCGA.E9.A1NH.01A.11D.A14F.01	0.63	2.0799488220918
BRCA	TCGA.E9.A1NI.01A.11D.A14F.01	0.62	3.54293896468025
BRCA	TCGA.E9.A1QZ.01A.21D.A166.01	1	2.03320788748413
BRCA	TCGA.E9.A1R0.01A.22D.A16C.01	0.49	1.94479216471556
BRCA	TCGA.E9.A1R2.01A.11D.A14F.01	0.64	2.00455692181764
BRCA	TCGA.E9.A1R3.01A.31D.A14J.01	0.47	4.27664391537653
BRCA	TCGA.E9.A1R4.01A.21D.A14F.01	0.4	3.35628453717479
BRCA	TCGA.E9.A1R5.01A.11D.A14J.01	0.67	2.14893904131383
BRCA	TCGA.E9.A1R6.01A.11D.A14F.01	0.57	3.37683399999
BRCA	TCGA.E9.A1R7.01A.11D.A14J.01	0.63	2.00484513074078
BRCA	TCGA.E9.A1RA.01A.11D.A14F.01	0.37	2.90437127973092
BRCA	TCGA.E9.A1RB.01A.11D.A160.01	0.57	3.20918137004193
BRCA	TCGA.E9.A1RC.01A.11D.A160.01	0.78	3.69296031657446
BRCA	TCGA.E9.A1RD.01A.11D.A160.01	0.62	3.18881016361271
BRCA	TCGA.E9.A1RE.01A.11D.A160.01	0.72	3.34133654528018
BRCA	TCGA.E9.A1RF.01A.11D.A160.01	0.47	3.54327104355509
BRCA	TCGA.E9.A1RG.01A.11D.A14F.01	0.65	2.71129795638216
BRCA	TCGA.E9.A1RH.01A.21D.A166.01	0.38	3.39318527502295
BRCA	TCGA.E9.A1RI.01A.11D.A166.01	0.56	1.97955271530012
BRCA	TCGA.E9.A226.01A.21D.A160.01	0.59	1.97960213841025
BRCA	TCGA.E9.A227.01A.11D.A160.01	0.38	4.03814575597089
BRCA	TCGA.E9.A228.01A.31D.A160.01	0.57	3.96791884836379
BRCA	TCGA.E9.A229.01A.31D.A160.01	0.58	1.90155916029581
BRCA	TCGA.E9.A22A.01A.11D.A160.01	0.44	2.03487383501677
BRCA	TCGA.E9.A22B.01A.11D.A160.01	0.48	3.74939762113799
BRCA	TCGA.E9.A22D.01A.11D.A160.01	0.39	3.23982480895747
BRCA	TCGA.E9.A22E.01A.11D.A160.01	0.41	3.59197224309284
BRCA	TCGA.E9.A22G.01A.11D.A160.01	0.82	1.75367022124339
BRCA	TCGA.E9.A22H.01A.11D.A160.01	0.71	1.98778527269062
BRCA	TCGA.E9.A243.01A.21D.A166.01	0.23	2.79134229279916
BRCA	TCGA.E9.A244.01A.11D.A166.01	0.45	3.65361507838005
BRCA	TCGA.E9.A245.01A.22D.A16C.01	0.31	2.07571453877965
BRCA	TCGA.E9.A247.01A.11D.A166.01	0.62	4.70956203905314
BRCA	TCGA.E9.A248.01A.11D.A166.01	0.31	2.73566521562636
BRCA	TCGA.E9.A249.01A.11D.A166.01	0.53	3.91740954043727
BRCA	TCGA.E9.A24A.01A.11D.A166.01	0.56	2.06149012343005
BRCA	TCGA.E9.A295.01A.11D.A16C.01	0.45	3.41316609441369
BRCA	TCGA.E9.A2JS.01A.11D.A17U.01	0.57	3.42715227926612
BRCA	TCGA.E9.A2JT.01A.22D.A18N.01	0.37	2.00098790688686
BRCA	TCGA.E9.A3HO.01A.11D.A20R.01	0.66	3.7792030884446
BRCA	TCGA.E9.A3Q9.01A.11D.A21P.01	0.91	2.0280018014446
BRCA	TCGA.E9.A3QA.01A.61D.A227.01	0.28	1.86468119039725
BRCA	TCGA.E9.A3X8.01A.31D.A22W.01	0.22	4.05542496377952
BRCA	TCGA.E9.A54X.01A.11D.A25N.01	0.75	2.18442650033846
BRCA	TCGA.E9.A54Y.01A.11D.A25N.01	0.61	4.32870699703517
BRCA	TCGA.E9.A5FK.01A.11D.A27O.01	1	2.00049811831226
BRCA	TCGA.E9.A5FL.01A.11D.A27O.01	0.34	2.87199636601311
BRCA	TCGA.E9.A5UO.01A.11D.A28A.01	0.8	1.88195540036329
BRCA	TCGA.E9.A5UP.01A.11D.A28A.01	0.65	3.75386902431562
BRCA	TCGA.E9.A6HE.01A.11D.A31T.01	0.62	2.01775178159206
BRCA	TCGA.EW.A1IW.01A.11D.A13J.01	0.38	3.732397737199
BRCA	TCGA.EW.A1IX.01A.12D.A141.01	0.36	3.9164416249208
BRCA	TCGA.EW.A1IY.01A.11D.A13J.01	0.45	2.13569364779759
BRCA	TCGA.EW.A1IZ.01A.11D.A13J.01	0.2	3.89139965692587
BRCA	TCGA.EW.A1J1.01A.11D.A13J.01	0.43	5.20496374620511
BRCA	TCGA.EW.A1J2.01A.21D.A13J.01	0.45	1.96489293232866
BRCA	TCGA.EW.A1J3.01A.11D.A13J.01	0.71	2.11900085352045
BRCA	TCGA.EW.A1J5.01A.11D.A13J.01	0.68	2.05920277746772
BRCA	TCGA.EW.A1J6.01A.11D.A13J.01	0.64	3.11549292333254
BRCA	TCGA.EW.A1OV.01A.11D.A141.01	0.3	3.89256026704028
BRCA	TCGA.EW.A1OW.01A.21D.A141.01	0.57	3.57292490963623
BRCA	TCGA.EW.A1OX.01A.11D.A141.01	0.85	2.05922332415396
BRCA	TCGA.EW.A1OY.01A.11D.A141.01	0.63	2.70694316953182
BRCA	TCGA.EW.A1OZ.01A.11D.A141.01	0.55	4.91412151532366
BRCA	TCGA.EW.A1P0.01A.11D.A141.01	0.75	2.28385024908692
BRCA	TCGA.EW.A1P1.01A.31D.A14F.01	1	2.00016548412158
BRCA	TCGA.EW.A1P3.01A.11D.A141.01	0.61	1.97491138547416
BRCA	TCGA.EW.A1P4.01A.21D.A141.01	0.43	2.9983007335167
BRCA	TCGA.EW.A1P5.01A.11D.A141.01	0.55	2.81336611918078
BRCA	TCGA.EW.A1P6.01A.11D.A141.01	0.68	2.31826539321637
BRCA	TCGA.EW.A1P7.01A.21D.A141.01	1	2.01737749871306
BRCA	TCGA.EW.A1P8.01A.11D.A141.01	0.68	1.57589307282357
BRCA	TCGA.EW.A1PA.01A.11D.A141.01	0.63	1.92424658911126
BRCA	TCGA.EW.A1PB.01A.11D.A141.01	0.35	3.03132647740392
BRCA	TCGA.EW.A1PC.01B.11D.A21P.01	0.69	4.42306182275762
BRCA	TCGA.EW.A1PD.01A.11D.A141.01	0.56	2.01546610157726
BRCA	TCGA.EW.A1PE.01A.11D.A141.01	0.49	3.70432485532634
BRCA	TCGA.EW.A1PF.01A.11D.A141.01	0.46	1.82608784985592
BRCA	TCGA.EW.A1PG.01A.11D.A141.01	1	2.00002110200208
BRCA	TCGA.EW.A1PH.01A.11D.A14J.01	0.66	3.2847354225426
BRCA	TCGA.EW.A2FR.01A.11D.A21P.01	0.23	3.72920300514722
BRCA	TCGA.EW.A2FS.01A.11D.A17C.01	0.55	1.61049591370836
BRCA	TCGA.EW.A2FV.01A.11D.A17C.01	0.55	1.79112571961992
BRCA	TCGA.EW.A2FW.01A.11D.A17C.01	0.72	2.0049822937543
BRCA	TCGA.EW.A3E8.01B.11D.A242.01	0.33	3.74415210767352
BRCA	TCGA.EW.A3U0.01A.11D.A227.01	0.26	4.25323346533191
BRCA	TCGA.EW.A423.01A.11D.A242.01	0.63	3.2818405610467
BRCA	TCGA.EW.A6SA.01A.21D.A32H.01	0.73	3.00205300267607
BRCA	TCGA.EW.A6SB.01A.12D.A32H.01	0.22	3.17328853045102
BRCA	TCGA.EW.A6SC.01A.12D.A32H.01	0.61	1.96992298324556
BRCA	TCGA.GI.A2C8.01A.11D.A16C.01	0.43	3.21753831818154
BRCA	TCGA.GI.A2C9.01A.11D.A21P.01	0.63	2.74069137933237
BRCA	TCGA.GM.A2D9.01A.11D.A18N.01	0.71	2.01708096005224
BRCA	TCGA.GM.A2DA.01A.11D.A18N.01	0.5	1.98595439635224
BRCA	TCGA.GM.A2DB.01A.31D.A18N.01	0.31	3.60685137582277
BRCA	TCGA.GM.A2DC.01A.11D.A18N.01	0.69	2.27618411385752
BRCA	TCGA.GM.A2DD.01A.11D.A17U.01	0.32	3.03943020151857
BRCA	TCGA.GM.A2DF.01A.11D.A17U.01	0.41	1.65355510426888
BRCA	TCGA.GM.A2DH.01A.11D.A17U.01	0.34	3.48609183702369
BRCA	TCGA.GM.A2DI.01A.31D.A18N.01	1	2.01477306740368
BRCA	TCGA.GM.A2DK.01A.21D.A17U.01	0.49	2.12148533660747
BRCA	TCGA.GM.A2DL.01A.11D.A18N.01	0.56	1.92883960645877
BRCA	TCGA.GM.A2DM.01A.11D.A17U.01	0.72	1.99608169140321
BRCA	TCGA.GM.A2DN.01A.11D.A17U.01	0.36	2.06719932562444
BRCA	TCGA.GM.A2DO.01A.11D.A18N.01	0.36	2.0060485001752
BRCA	TCGA.GM.A3NW.01A.21D.A227.01	0.48	4.31114957598859
BRCA	TCGA.GM.A3NY.01A.11D.A21P.01	0.69	2.02629142864441
BRCA	TCGA.GM.A3XG.01A.31D.A242.01	1	2.00001332758026
BRCA	TCGA.GM.A3XL.01A.11D.A22W.01	0.56	2.14960653095858
BRCA	TCGA.GM.A3XN.01A.12D.A22W.01	0.3	2.12456456296365
BRCA	TCGA.GM.A4E0.01A.12D.A25N.01	0.26	1.91389161456416
BRCA	TCGA.GM.A5PV.01A.11D.A28A.01	0.56	1.96231737744318
BRCA	TCGA.GM.A5PX.01A.12D.A28A.01	0.48	2.03052126942981
BRCA	TCGA.HN.A2NL.01A.11D.A18N.01	0.82	1.63054281568456
BRCA	TCGA.HN.A2OB.01A.21D.A27O.01	0.39	2.02422565370393
BRCA	TCGA.JL.A3YW.01A.12D.A238.01	0.29	3.30422312146368
BRCA	TCGA.JL.A3YX.01A.11D.A22W.01	0.5	3.79480135519279
BRCA	TCGA.LD.A66U.01A.11D.A31T.01	0.42	2.09677822406661
BRCA	TCGA.LL.A440.01A.11D.A242.01	1	2.0050311615486
BRCA	TCGA.LL.A441.01A.11D.A242.01	1	2.45127908674977
BRCA	TCGA.LL.A50Y.01A.11D.A25N.01	0.74	2.04133604549592
BRCA	TCGA.LL.A5YL.01A.12D.A29M.01	0.5	1.96832311829838
BRCA	TCGA.LL.A5YM.01A.11D.A28A.01	0.7	1.80530126717523
BRCA	TCGA.LL.A5YN.01A.11D.A28A.01	0.24	3.57080804563808
BRCA	TCGA.LL.A5YO.01A.21D.A28A.01	1	2.0487495120162
BRCA	TCGA.LL.A5YP.01A.21D.A28A.01	0.39	3.37383140722033
BRCA	TCGA.LL.A6FP.01A.11D.A31T.01	0.86	2.97741197272067
BRCA	TCGA.LL.A6FQ.01A.11D.A31T.01	0.7	3.3236974928045
BRCA	TCGA.LL.A6FR.01A.12D.A31T.01	0.5	3.33776475377017
BRCA	TCGA.LL.A73Z.01A.11D.A32H.01	0.25	2.2781105045211
BRCA	TCGA.LL.A740.01A.21D.A32H.01	0.56	2.1384630079127
BRCA	TCGA.LQ.A4E4.01A.11D.A25N.01	0.77	1.84771740198814
BRCA	TCGA.MS.A51U.01A.31D.A25N.01	1	2.23323320988662
BRCA	TCGA.OK.A5Q2.01A.11D.A27O.01	0.37	2.04167478816089
BRCA	TCGA.OL.A5D6.01A.21D.A27O.01	0.51	1.86608169695637
BRCA	TCGA.OL.A5D7.01A.11D.A27O.01	0.56	1.71643351730947
BRCA	TCGA.OL.A5D8.01A.11D.A27O.01	0.72	2.12660812527037
BRCA	TCGA.OL.A5DA.01A.11D.A27O.01	0.63	2.15053835094518
BRCA	TCGA.OL.A5RU.01A.11D.A28A.01	0.4	2.06803341002245
BRCA	TCGA.OL.A5RV.01A.12D.A28A.01	0.5	2.12908927646233
BRCA	TCGA.OL.A5RW.01A.11D.A28A.01	0.77	1.78026596297043
BRCA	TCGA.OL.A5RX.01A.11D.A28A.01	0.28	4.25065735513059
BRCA	TCGA.OL.A5RY.01A.21D.A28A.01	1	2.00503005091691
BRCA	TCGA.OL.A5RZ.01A.11D.A28A.01	0.64	4.1411984937613
BRCA	TCGA.OL.A5S0.01A.11D.A28A.01	0.41	2.91106172502203
BRCA	TCGA.OL.A66H.01A.11D.A29M.01	0.49	2.10250019852541
BRCA	TCGA.OL.A66I.01A.21D.A29M.01	0.26	4.21160088117518
BRCA	TCGA.OL.A66J.01A.11D.A29M.01	0.55	1.8842149805334
BRCA	TCGA.OL.A66K.01A.11D.A29M.01	0.43	3.87392997578267
BRCA	TCGA.OL.A66L.01A.12D.A31T.01	0.59	1.97528844493238
BRCA	TCGA.OL.A66N.01A.12D.A31T.01	0.37	4.15810119742755
BRCA	TCGA.OL.A66O.01A.11D.A31T.01	0.67	3.86895267987097
BRCA	TCGA.OL.A66P.01A.11D.A31T.01	0.28	2.16579565376501
BRCA	TCGA.PE.A5DC.01A.12D.A27O.01	0.65	1.86415586160863
BRCA	TCGA.PE.A5DD.01A.12D.A27O.01	0.71	1.83979137894365
BRCA	TCGA.PE.A5DE.01A.11D.A27O.01	0.43	2.8052407377482
BRCA	TCGA.S3.A6ZF.01A.32D.A32H.01	0.55	3.28567557226686
BRCA	TCGA.S3.A6ZG.01A.22D.A32H.01	0.65	3.57374899834905
BRCA	TCGA.S3.A6ZH.01A.22D.A32H.01	0.65	3.69183968920083
CESC	TCGA.BI.A0VR.01A.11D.A10T.01	0.34	4.33947956909712
CESC	TCGA.BI.A0VS.01A.11D.A10T.01	0.37	4.9444284328376
CESC	TCGA.BI.A20A.01A.11D.A14V.01	0.63	1.93903687130611
CESC	TCGA.C5.A0TN.01A.21D.A14V.01	0.79	1.86220559236374
CESC	TCGA.C5.A1BE.01B.11D.A13V.01	0.58	2.04553923112079
CESC	TCGA.C5.A1BF.01B.11D.A13V.01	0.69	1.95066962761075
CESC	TCGA.C5.A1BI.01B.11D.A13V.01	0.53	1.96119786070124
CESC	TCGA.C5.A1BJ.01A.11D.A13V.01	0.44	2.01309268165908
CESC	TCGA.C5.A1BK.01B.11D.A13V.01	0.45	2.07094437567783
CESC	TCGA.C5.A1BL.01A.11D.A13V.01	0.59	2.12502158790344
CESC	TCGA.C5.A1BM.01A.11D.A13V.01	0.42	4.07679740467588
CESC	TCGA.C5.A1BN.01B.11D.A14V.01	0.75	2.00113673153311
CESC	TCGA.C5.A1BQ.01C.11D.A20T.01	0.65	1.98618152053253
CESC	TCGA.C5.A1M5.01A.11D.A13V.01	0.73	2.05015557173376
CESC	TCGA.C5.A1M6.01A.11D.A13V.01	0.51	3.18302599377935
CESC	TCGA.C5.A1M7.01A.11D.A13V.01	0.42	2.16705955262645
CESC	TCGA.C5.A1M8.01A.21D.A13V.01	0.84	1.71517961413323
CESC	TCGA.C5.A1M9.01A.11D.A13V.01	0.62	4.79635568424075
CESC	TCGA.C5.A1ME.01A.11D.A13V.01	0.67	3.02358815111477
CESC	TCGA.C5.A1MF.01A.11D.A13V.01	0.66	2.60683971419004
CESC	TCGA.C5.A1MH.01A.11D.A14V.01	0.29	2.78856404763055
CESC	TCGA.C5.A1MI.01A.11D.A14V.01	0.71	2.80272460165806
CESC	TCGA.C5.A1MJ.01A.11D.A14V.01	1	2.78473625551637
CESC	TCGA.C5.A1MK.01A.11D.A14V.01	0.32	4.3827631072587
CESC	TCGA.C5.A1ML.01A.11D.A14V.01	0.67	4.54199104053417
CESC	TCGA.C5.A1MN.01A.11D.A14V.01	0.56	3.76556786320572
CESC	TCGA.C5.A1MP.01A.11D.A14V.01	0.35	4.86926310142788
CESC	TCGA.C5.A2LS.01A.22D.A22W.01	0.62	2.13226401714371
CESC	TCGA.C5.A2LT.01A.11D.A18H.01	0.6	2.1051174020992
CESC	TCGA.C5.A2LV.01A.11D.A18H.01	0.67	2.75205369682087
CESC	TCGA.C5.A2LX.01A.11D.A18H.01	0.58	2.73123934834796
CESC	TCGA.C5.A2LY.01A.31D.A18H.01	0.59	2.36167110086368
CESC	TCGA.C5.A2LZ.01A.11D.A20T.01	0.51	4.36381128812729
CESC	TCGA.C5.A2M1.01A.11D.A18H.01	0.68	1.92248346130587
CESC	TCGA.C5.A2M2.01A.21D.A18H.01	0.87	2.12974843636941
CESC	TCGA.C5.A3HD.01B.11D.A20T.01	0.82	1.95529818517229
CESC	TCGA.C5.A3HE.01A.21D.A22W.01	0.29	5.02554064162303
CESC	TCGA.C5.A3HF.01A.11D.A20T.01	0.34	2.10552444861301
CESC	TCGA.C5.A3HL.01A.11D.A20T.01	0.6	2.09003668971783
CESC	TCGA.C5.A7CG.01A.11D.A32H.01	0.3	4.13173035861742
CESC	TCGA.C5.A7CJ.01A.11D.A32H.01	0.27	4.15073049022727
CESC	TCGA.C5.A7CK.01A.11D.A32H.01	0.56	2.10531009669715
CESC	TCGA.C5.A7CL.01A.11D.A32H.01	0.58	2.00727241629585
CESC	TCGA.DG.A2KH.01A.21D.A22W.01	0.64	3.23558885969779
CESC	TCGA.DG.A2KJ.01A.11D.A18H.01	0.6	1.77725948298984
CESC	TCGA.DG.A2KK.01A.11D.A17U.01	0.79	1.98456444079417
CESC	TCGA.DG.A2KL.01A.11D.A17U.01	0.48	3.64726615233313
CESC	TCGA.DG.A2KM.01A.11D.A17U.01	1	2.00286654038784
CESC	TCGA.DR.A0ZL.01A.11D.A10T.01	0.55	2.18430655211611
CESC	TCGA.DR.A0ZM.01A.12D.A10T.01	0.42	2.07482270153384
CESC	TCGA.DS.A0VK.01A.21D.A10T.01	0.58	1.91700527050268
CESC	TCGA.DS.A0VL.01A.21D.A10T.01	0.55	4.17205073143426
CESC	TCGA.DS.A0VM.01A.11D.A10T.01	0.72	2.13383111845609
CESC	TCGA.DS.A0VN.01A.21D.A10T.01	0.52	3.99662978814145
CESC	TCGA.DS.A1OB.01A.11D.A16Y.01	0.54	1.58854594433403
CESC	TCGA.DS.A3LQ.01A.21D.A21P.01	0.67	2.65582745670341
CESC	TCGA.DS.A5RQ.01A.11D.A28A.01	0.51	4.02845160727841
CESC	TCGA.EA.A1QS.01A.61D.A22W.01	0.21	3.40185819787792
CESC	TCGA.EA.A1QT.01A.11D.A14V.01	0.72	3.68545244636065
CESC	TCGA.EA.A3HQ.01A.11D.A20T.01	0.73	2.27245072543685
CESC	TCGA.EA.A3HR.01A.11D.A20T.01	0.68	2.02703333061229
CESC	TCGA.EA.A3HS.01A.11D.A20T.01	0.79	2.05303655033355
CESC	TCGA.EA.A3HT.01A.61D.A21P.01	0.39	4.72004307029688
CESC	TCGA.EA.A3HU.01A.11D.A20T.01	0.25	3.99763435450364
CESC	TCGA.EA.A3QD.01A.32D.A22W.01	0.48	2.27992472138416
CESC	TCGA.EA.A3QE.01A.21D.A21P.01	0.29	3.79919834604729
CESC	TCGA.EA.A3Y4.01A.51D.A242.01	0.57	2.09052592297658
CESC	TCGA.EA.A410.01A.11D.A242.01	0.71	1.99973067181556
CESC	TCGA.EA.A411.01A.11D.A242.01	0.43	3.7177074118561
CESC	TCGA.EA.A439.01A.11D.A242.01	0.62	2.76063332661401
CESC	TCGA.EA.A43B.01A.81D.A242.01	0.33	4.12867612147423
CESC	TCGA.EA.A44S.01A.12D.A26F.01	0.7	1.77424078606069
CESC	TCGA.EA.A4BA.01A.21D.A26F.01	0.75	2.06418951374879
CESC	TCGA.EA.A50E.01A.21D.A26F.01	0.31	3.92141614425329
CESC	TCGA.EA.A556.01A.11D.A26F.01	0.56	4.00372283741963
CESC	TCGA.EA.A5FO.01A.21D.A28A.01	0.65	4.19279122289989
CESC	TCGA.EA.A5O9.01A.11D.A28A.01	0.7	2.67216096162934
CESC	TCGA.EA.A5ZD.01A.11D.A28A.01	0.4	2.21507826899166
CESC	TCGA.EA.A5ZE.01A.11D.A28A.01	0.61	2.18302488314766
CESC	TCGA.EA.A5ZF.01A.11D.A28A.01	0.61	2.87187641779077
CESC	TCGA.EA.A78R.01A.11D.A32H.01	0.42	1.97075318043267
CESC	TCGA.EK.A2GZ.01A.11D.A17U.01	0.31	3.9665449969652
CESC	TCGA.EK.A2H0.01A.11D.A17U.01	0.63	1.94204057470747
CESC	TCGA.EK.A2H1.01A.11D.A17U.01	0.43	2.1476412681859
CESC	TCGA.EK.A2IP.01A.11D.A17U.01	0.73	1.95254104200576
CESC	TCGA.EK.A2IR.01A.11D.A17U.01	0.48	2.0643994231379
CESC	TCGA.EK.A2PG.01A.11D.A18H.01	0.66	3.90474500729408
CESC	TCGA.EK.A2PI.01A.11D.A18H.01	0.65	3.97274787494509
CESC	TCGA.EK.A2PK.01A.11D.A18H.01	0.46	3.11792964925696
CESC	TCGA.EK.A2PL.01A.11D.A18H.01	0.54	3.76109646002809
CESC	TCGA.EK.A2PM.01A.11D.A18H.01	0.58	3.26000665268381
CESC	TCGA.EK.A2R7.01A.11D.A18H.01	0.69	2.13069080735705
CESC	TCGA.EK.A2R8.01A.21D.A18H.01	0.44	3.75371908903768
CESC	TCGA.EK.A2R9.01A.11D.A18H.01	0.76	2.24025184684167
CESC	TCGA.EK.A2RA.01A.11D.A18H.01	0.51	3.69596901781842
CESC	TCGA.EK.A2RB.01A.11D.A18H.01	0.77	2.04689586772821
CESC	TCGA.EK.A2RC.01A.11D.A18H.01	0.61	1.96800325637211
CESC	TCGA.EK.A2RD.01A.12D.A20T.01	0.57	2.01040606360477
CESC	TCGA.EK.A2RE.01A.11D.A18H.01	0.8	1.98209495123494
CESC	TCGA.EK.A2RJ.01A.11D.A18H.01	0.32	5.0750948062975
CESC	TCGA.EK.A2RK.01A.11D.A18H.01	0.74	1.68855555129813
CESC	TCGA.EK.A2RL.01A.11D.A18H.01	0.86	2.0861217130161
CESC	TCGA.EK.A2RN.01A.12D.A20T.01	0.57	3.02921794314343
CESC	TCGA.EK.A2RO.01A.11D.A18H.01	0.69	2.25914258123021
CESC	TCGA.EK.A3GJ.01A.21D.A20T.01	0.6	3.95373552638666
CESC	TCGA.EK.A3GK.01A.11D.A20T.01	0.76	2.03583786332233
CESC	TCGA.EK.A3GM.01A.11D.A20T.01	0.64	3.1462924060003
CESC	TCGA.EK.A3GN.01A.11D.A20T.01	0.64	2.3235719914237
CESC	TCGA.EX.A1H5.01A.31D.A13V.01	0.75	1.75278338184017
CESC	TCGA.EX.A1H6.01B.11D.A22W.01	0.56	1.87133998268525
CESC	TCGA.EX.A3L1.01A.11D.A21P.01	0.26	3.75322818983139
CESC	TCGA.EX.A449.01A.11D.A242.01	0.65	4.09897116633542
CESC	TCGA.EX.A69L.01A.11D.A32H.01	0.35	4.14020892092691
CESC	TCGA.EX.A69M.01A.11D.A32H.01	0.65	2.0715480040005
CESC	TCGA.FU.A23K.01A.11D.A16M.01	0.46	4.35908999281977
CESC	TCGA.FU.A23L.01A.11D.A16M.01	0.48	3.07675742193509
CESC	TCGA.FU.A2QG.01A.11D.A18H.01	0.8	1.86367940061429
CESC	TCGA.FU.A3EO.01A.11D.A20T.01	0.74	2.04775494133921
CESC	TCGA.FU.A3HY.01A.11D.A21P.01	0.59	3.82196018718586
CESC	TCGA.FU.A3HZ.01A.11D.A20T.01	0.55	2.00188918450202
CESC	TCGA.FU.A3NI.01A.11D.A21P.01	0.62	3.27646676962222
CESC	TCGA.FU.A3TQ.01A.11D.A22W.01	0.61	1.92894567178501
CESC	TCGA.FU.A3TX.01A.11D.A22W.01	0.63	3.33002587216518
CESC	TCGA.FU.A3WB.01A.11D.A22W.01	0.78	1.95208790427688
CESC	TCGA.FU.A3YQ.01A.11D.A22W.01	0.22	3.91574525885215
CESC	TCGA.FU.A40J.01A.11D.A242.01	0.54	3.61568700622009
CESC	TCGA.FU.A57G.01A.11D.A26F.01	0.4	4.0159086883051
CESC	TCGA.FU.A5XV.01A.11D.A28A.01	0.65	1.87552428757142
CESC	TCGA.HG.A2PA.01A.11D.A20T.01	0.33	3.91678758669174
CESC	TCGA.HM.A3JJ.01A.21D.A21P.01	0.4	2.9346587611903
CESC	TCGA.HM.A3JK.01A.11D.A21P.01	0.43	3.38327844036213
CESC	TCGA.HM.A4S6.01A.11D.A26F.01	0.48	2.13204633333278
CESC	TCGA.IR.A3L7.01A.21D.A20T.01	0.71	2.06368139975133
CESC	TCGA.IR.A3LA.01A.11D.A22W.01	0.75	2.21544255618547
CESC	TCGA.IR.A3LB.01A.11D.A242.01	0.69	1.78119944890455
CESC	TCGA.IR.A3LC.01A.11D.A20T.01	0.67	2.18840644899396
CESC	TCGA.IR.A3LF.01A.21D.A22W.01	0.26	3.90887766780673
CESC	TCGA.IR.A3LH.01A.21D.A20T.01	0.4	3.90732444939046
CESC	TCGA.IR.A3LI.01A.11D.A20T.01	0.84	2.09484183771783
CESC	TCGA.IR.A3LK.01A.12D.A20T.01	0.8	2.01108688082977
CESC	TCGA.IR.A3LL.01A.11D.A20T.01	0.32	4.76526577138646
CESC	TCGA.JW.A5VG.01A.11D.A28A.01	0.71	2.08843682477064
CESC	TCGA.JW.A5VH.01A.11D.A28A.01	0.68	2.00019769244054
CESC	TCGA.JW.A5VI.01A.11D.A28A.01	0.59	1.91175642514315
